herb_id,P1_group_signature,P2_group_signature,same_member_set,P2_added_connectivity,difference_reason
H0341,P1SIG_5192e6ae665b,P2SIG_5192e6ae665b,True,False,
H0342,P1SIG_7209d401c96a,P2SIG_7209d401c96a,True,False,
H0343,P1SIG_f9fb53beab0f,P2SIG_f9fb53beab0f,True,False,
H0344,P1SIG_b49b85cd269c,P2SIG_b49b85cd269c,True,False,
H0345,P1SIG_040ab2801ceb,P2SIG_040ab2801ceb,True,False,
H0346,P1SIG_942f3bf3e55e,P2SIG_942f3bf3e55e,True,False,
H0347,P1SIG_739c53630b6c,P2SIG_739c53630b6c,True,False,
H0348,P1SIG_3fc25e135cd5,P2SIG_3fc25e135cd5,True,False,
H0349,P1SIG_73bf5b5be2ab,P2SIG_73bf5b5be2ab,True,False,
H0350,P1SIG_a40375597c64,P2SIG_a40375597c64,True,False,
H0351,P1SIG_01a172d77d34,P2SIG_01a172d77d34,True,False,
H0352,P1SIG_72c7f4d88cf6,P2SIG_72c7f4d88cf6,True,False,
H0354,P1SIG_77af7795e49a,P2SIG_77af7795e49a,True,False,
